Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
210127288.1842448,-0.7361058500401185,-0.003691296093392027,-7.708604865541702e-10,2.8088337089560156e-07
210128449.14104462,-0.7361112797399132,-0.003690639501090686,3.982385208267658e-07,7.017665074656593e-08
210128725.18904454,-0.7361130075382902,-0.0036902263604697556,5.438986472316998e-08,2.7683636508223433e-07
210132270.18104285,-0.7361305377705584,-0.0036878167027982935,2.252715477490952e-07,2.814876996250215e-08
210132450.15224382,-0.7361316773868928,-0.0036873126534330866,-1.9397272010834854e-08,3.9699572656733476e-07
210132690.1714428,-0.7361329412451018,-0.0036876293170777,-9.028601644089917e-08,-1.0000380338192824e-07
210135699.2242432,-0.7361481380440763,-0.003684916074140115,-3.8950760816724994e-07,3.5148441668905045e-07
210135880.14584216,-0.7361483662879541,-0.003685076929009798,2.7441089378577033e-07,5.4662364603903085e-08
210137629.14104286,-0.7361571551563476,-0.003683385822212893,8.833414333331291e-08,4.3217145778619986e-07
210138365.1826427,-0.7361602897442224,-0.003683253592085526,5.619752279084622e-07,1.2242837984285243e-08
210138589.21784166,-0.736161300119868,-0.0036833309505001984,6.48404554715043e-07,-2.3307873629101541e-07
210221551.18902704,-0.7365279143805495,-0.00364074207797584,1.4567769834883393e-07,-1.629404111809507e-07
210221787.147426,-0.7365285202730069,-0.0036407509745316263,5.350917596791405e-07,-2.2671902919543102e-07
210221966.168227,-0.736529705192485,-0.003640410741000904,1.0518410475945927e-07,7.215575132443058e-08
210224307.17622656,-0.7365392526065874,-0.003640187824329937,4.203341408270944e-07,-2.2305786260721702e-07
210224547.19542652,-0.7365403034704943,-0.003639865232682147,3.7948222020300904e-07,4.884564349869058e-08
210224907.22422543,-0.7365420705898307,-0.003639551704697744,1.2694336115615101e-07,2.872096402008889e-07
210227731.20822492,-0.7365539158849264,-0.0036397969593885988,1.4224317890221272e-07,-5.105163726776968e-07
210227971.14102587,-0.7365556503567958,-0.003639381898470594,-5.862065767248126e-07,-1.3928180522164782e-07
210298710.19061184,-0.7368494393225846,-0.0036524556340655216,2.820045722495834e-07,-1.857148383415004e-07
210299250.19061172,-0.7368523554137001,-0.003652582642951374,-2.4541608512063107e-07,-5.084176230019111e-08
210299430.1618127,-0.7368530256133717,-0.003652357038616581,-1.1880419259480135e-07,2.623862916622914e-07
210302791.2082111,-0.7368675495232399,-0.003654028777756727,3.017768621660366e-07,2.5844741851840936e-07
210302970.14261207,-0.7368688020136706,-0.0036540590561997396,-1.518206469430794e-07,3.186249102485675e-07
210303150.200211,-0.7368697820572248,-0.0036543398626232185,-3.276328252033167e-07,1.2901220801083205e-07
210307410.15221122,-0.7368886064065696,-0.0036563048336493713,-3.446708540799648e-08,3.7158774496238653e-07
210307590.2098102,-0.7368892894230066,-0.0036565538033833792,9.419577173819249e-08,2.180574501949549e-07
210307950.15221113,-0.736891313077066,-0.003656855651000802,-3.060447403280264e-07,1.0752166004117727e-07
210311971.2082094,-0.7369091636390368,-0.0036593374025446733,5.058683649750151e-08,-1.8872029963409864e-07
210312210.19060937,-0.7369103383363298,-0.0036593315887108427,-3.811996007740959e-08,-5.017521381408055e-08
210312510.1714093,-0.7369115152047732,-0.003659218136961051,1.4877334575391643e-07,2.303460544194301e-07
210316290.17140862,-0.7369286327627649,-0.0036607694082412506,2.680149266964804e-07,8.289927030153028e-07
210316590.15220955,-0.7369300559962098,-0.0036616512747864754,2.166101870093584e-07,1.2136343217677634e-07
210316770.20980853,-0.7369305942706451,-0.0036612440210451068,5.020105877662218e-07,6.334603567916333e-07
